2018 rank,City,State,2018 estimate,2010 Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location : Latitude / Longitude / Coordinates,Wikipedia Link,City Summary
153,Eugene, Oregon,"171,245","156,185",+9.64%,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2",44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W﻿ / 44.0567; -123.1162﻿ (Eugene),"https://en.wikipedia.org/wiki/Eugene,_Oregon","As of the 2010 census, Eugene had a population of 156,185; it is the state's third most populous city (after Portland and Salem) and the county seat of Lane County.[8] The Eugene-Springfield, Oregon metropolitan statistical area (MSA) is the 146th largest metropolitan statistical area in the US and the third-largest in the state, behind the Portland Metropolitan Area and the Salem Metropolitan Area.[9] The city's population for 2014 was estimated to be 160,561 by the US Census.[10]"
154,Corona, California,"168,819","152,374",+10.79%,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2",33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W﻿ / 33.8620; -117.5655﻿ (Corona),"https://en.wikipedia.org/wiki/Corona,_California","Corona, originally named South Riverside, was founded at the height of the Southern California citrus boom in 1886, and is advantageously situated at the upper end of the Santa Ana River Canyon, a significant pass through the Santa Ana Mountains. The town of Corona was once the ""Lemon Capital of the World"". A museum there presents the lemon's former role in the local economy. The city derived its name (and its nickname, ""The Circle City"") from the curious layout of its streets, with a standard grid enclosed by the circular Grand Boulevard, 2.75 miles (4.43 kilometers) in circumference.[9] The street layout was designed by Hiram Clay Kellogg, a civil engineer from Anaheim who was an influential figure in the early development of Orange County."
155,Cary, North Carolina,"168,160","135,234",+24.35%,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2",35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W﻿ / 35.7809; -78.8133﻿ (Cary),"https://en.wikipedia.org/wiki/Cary,_North_Carolina","According to the US Census Bureau, Cary was the 5th fastest-growing municipality in the United States between September 1, 2006, and September 1, 2007.[8] In 2015 Cary had a low crime rate of 84 violent crimes per 100,000 residents.[9] Charlotte, the largest city in North Carolina, had a violent crime rate of 648 violent crimes per 100,000 residents, almost 8 times higher than Cary."
156,Springfield, Missouri,"168,122","159,498",+5.41%,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W﻿ / 37.1942; -93.2913﻿ (Springfield),"https://en.wikipedia.org/wiki/Springfield,_Missouri","The origin of the city's name is unclear, but the most common view is that it was named for Springfield, Massachusetts by migrants from that area. One account holds that James Wilson, who lived in the then unnamed city, offered free whiskey to anyone who would vote for the name Springfield, after his hometown in Massachusetts.[7]"
157,Fort Collins, Colorado,"167,830","143,986",+16.56%,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2",40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W﻿ / 40.5482; -105.0648﻿ (Fort Collins),"https://en.wikipedia.org/wiki/Fort_Collins,_Colorado","Fort Collins was founded as a military outpost of the United States Army in 1864. It succeeded a previous encampment, known as Camp Collins, on the Cache La Poudre River, near what is known today as Laporte. Camp Collins was erected during the Indian wars of the mid-1860s to protect the Overland mail route that had been recently relocated through the region. Travelers crossing the county on the Overland Trail would camp there, but a flood destroyed the camp in June 1864.[9] Afterward, the commander of the fort wrote to the commandant of Fort Laramie in southeast Wyoming, Colonel William O. Collins, suggesting that a site several miles farther down the river would make a good location for the fort. The post was manned originally by two companies of the 11th Ohio Volunteer Cavalry and never had walls.[10]"
158,Jackson, Mississippi,"164,422","173,514",−5.24%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W﻿ / 32.3158; -90.2128﻿ (Jackson),"https://en.wikipedia.org/wiki/Jackson,_Mississippi","Founded in 1821 as the site for a new state capital, the city is named after General Andrew Jackson, who was honored for his role in the Battle of New Orleans during the War of 1812 and would later serve as U.S. president.  Following the nearby Battle of Vicksburg in 1863 during the American Civil War, Union forces under the command of General William Tecumseh Sherman began the Siege of Jackson and the city was subsequently burned.[6]"
159,Alexandria, Virginia,"160,530","139,966",+14.69%,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W﻿ / 38.8201; -77.0841﻿ (Alexandria),"https://en.wikipedia.org/wiki/Alexandria,_Virginia","Like the rest of Northern Virginia, as well as Central Maryland, modern Alexandria has been influenced by its proximity to the U.S. capital. It is largely populated by professionals working in the federal civil service, in the U.S. military, or for one of the many private companies which contract to provide services to the federal government. One of Alexandria's largest employers is the U.S. Department of Defense. Another is the Institute for Defense Analyses. In 2005, the United States Patent and Trademark Office moved to Alexandria, and in 2017, so did the headquarters of the National Science Foundation."
160,Hayward, California,"159,620","144,186",+10.70%,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W﻿ / 37.6287; -122.1024﻿ (Hayward),"https://en.wikipedia.org/wiki/Hayward,_California","Human habitation of the greater East Bay, including Hayward, dates from at least 4000 BC. The most recent pre-European inhabitants of the Hayward area were the Native American Ohlone people.[16]"
161,Lancaster, California,"159,053","156,633",+1.55%,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W﻿ / 34.6936; -118.1753﻿ (Lancaster),"https://en.wikipedia.org/wiki/Lancaster,_California","Lancaster is located approximately 71 miles (114 km) north (via I-5 and SR 14) of downtown Los Angeles, near the Kern County line. It is separated from the Los Angeles Basin by the San Gabriel Mountains to the south, and from Bakersfield and the San Joaquin Valley by the Tehachapi Mountains to the north. The population of Lancaster grew from 37,000 at the time of its incorporation in 1977 to over 156,000 in 2010. According to the Greater Antelope Valley Economic Alliance report of 2015, Lancaster has a population of 168,049.[9]"
162,Lakewood, Colorado,"156,798","142,980",+9.66%,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W﻿ / 39.6989; -105.1176﻿ (Lakewood),"https://en.wikipedia.org/wiki/Lakewood,_Colorado","Until 1969, the area known as Lakewood had no municipal government, relying instead on several water districts, several fire districts, and the government of Jefferson County. Lakewood was a community with policing provided by the Jefferson County Sheriff, several volunteer staffed fire districts, and some neighborhoods without street lights and sidewalks. However, the community had already existed for about 80 years.[citation needed]"
163,Clarksville, Tennessee,"156,794","132,929",+17.95%,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W﻿ / 36.5664; -87.3452﻿ (Clarksville),"https://en.wikipedia.org/wiki/Clarksville,_Tennessee","Clarksville is the home of Austin Peay State University; The Leaf-Chronicle, the oldest newspaper in Tennessee; and neighbor to the Fort Campbell, United States Army base. Site of the 101st Airborne Division (Air Assault), Fort Campbell is located about 10 miles (16 km) from downtown Clarksville, and spans the Tennessee-Kentucky state line. While the post office for the base is located on the Kentucky side, the majority of the base's acreage is on the Tennessee side."
164,Palmdale, California,"156,667","152,750",+2.56%,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W﻿ / 34.5910; -118.1054﻿ (Palmdale),"https://en.wikipedia.org/wiki/Palmdale,_California","On August 24, 1962, Palmdale became the first community in the Antelope Valley to incorporate. Forty-seven years later, in November 2009, voters approved making it a charter city.  Palmdale's population was 152,750 at the 2010 census, up from 116,670 at the 2000 census. Palmdale is the 33rd most populous city in California. Together with its immediate northern neighbor, the city of Lancaster, the Palmdale/Lancaster urban area had an estimated population of 513,547 as of 2013.[9]"
165,Salinas, California,"156,259","150,441",+3.87%,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W﻿ / 36.6902; -121.6337﻿ (Salinas),"https://en.wikipedia.org/wiki/Salinas,_California","The land currently occupied by the city of Salinas is thought to have been settled by Native Americans known as the Esselen prior to 200 AD.[14] Between 200 and 500 AD, they were displaced by the Rumsen group of Ohlone speaking people.  The Rumsen-Ohlone remained as the inhabitants of the area for approximately another 1,200 years, and in the 1700s, were the group of native inhabitants contacted and recorded by the first Spanish explorers of the Salinas area."
166,Springfield, Massachusetts,"155,032","153,060",+1.29%,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W﻿ / 42.1155; -72.5400﻿ (Springfield),"https://en.wikipedia.org/wiki/Springfield,_Massachusetts","The first Springfield in the New World, during the American Revolution, George Washington designated it as the site of the Springfield Armory for its central location, subsequently the site of Shays' Rebellion. The city would also play a pivotal role in the Civil War, as a major stop on the Underground Railroad and home of abolitionist John Brown, best known for his raid on Harpers Ferry,[16] and for the Armory's manufacture of the famed ""Springfield rifles"" used ubiquitously by Union troops. Closing during the Johnson administration, today the national park historic site features the largest collection of historic American firearms in the world.[17]  Today the city is the largest in western New England, and the urban, economic, and media capital of Massachusetts' section of the Connecticut River Valley, colloquially known as the Pioneer Valley.Springfield has several nicknames – ""The City of Firsts"", due to the many innovations developed there, such as the first American dictionary, the first American gas-powered automobile, and the first machining lathe for interchangeable parts; ""The City of Homes"", due to its Victorian residential architecture; and ""Hoop City"", as basketball – one of the world's most popular sports[18] – was invented in Springfield in 1891 by James Naismith."
167,Hollywood, Florida,"154,823","140,768",+9.98%,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W﻿ / 26.0310; -80.1646﻿ (Hollywood),"https://en.wikipedia.org/wiki/Hollywood,_Florida","The Florida guide, published by the Federal Writers' Project, describes the early development of Hollywood, an early example of a planned community that proliferated in Florida during the real estate boom of the 1920's:"
168,Pasadena, Texas,"153,219","149,043",+2.80%,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W﻿ / 29.6586; -95.1506﻿ (Pasadena),"https://en.wikipedia.org/wiki/Pasadena,_Texas",The Pasadena Volunteer Fire Department is the largest of all volunteer municipal fire departments in the United States.[6][7]
169,Sunnyvale, California,"153,185","140,081",+9.35%,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W﻿ / 37.3858; -122.0263﻿ (Sunnyvale),"https://en.wikipedia.org/wiki/Sunnyvale,_California","Sunnyvale is the seventh most populous city in the San Francisco Bay Area and one of the major cities comprising Silicon Valley. It is bordered by portions of San Jose to the north, Moffett Federal Airfield to the northwest, Mountain View to the northwest, Los Altos to the southwest, Cupertino to the south, and Santa Clara to the east. It lies along the historic El Camino Real and Highway 101."
170,Macon, Georgia,"153,095","91,351",+67.59%,249.3 sq mi,645.7 km2,612/sq mi,236/km2,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W﻿ / 32.8088; -83.6942﻿ (Macon),"https://en.wikipedia.org/wiki/Macon,_Georgia","Located near the fall line of the Ocmulgee River, Macon is the county seat of Bibb County and had a 2017 estimated population of 152,663.[4] Macon is the principal city of the Macon metropolitan area, which had an estimated population of 228,914 in 2017. Macon is also the largest city in the Macon–Warner Robins Combined Statistical Area (CSA), a larger trading area with an estimated 420,693 residents in 2017; the CSA abuts the Atlanta metropolitan area just to the north."
171,Kansas City, Kansas,"152,958","145,786",+4.92%,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W﻿ / 39.1225; -94.7418﻿ (Kansas City),"https://en.wikipedia.org/wiki/Kansas_City,_Kansas","In October 1872, ""old"" Kansas City, Kansas, was incorporated. The first city election was held on October 22 of that year, by order of Judge Hiram Stevens of the Tenth Judicial District, and resulted in the election of Mayor James Boyle. The mayors of the city after its organization were James Boyle, C. A. Eidemiller, A. S. Orbison, Eli Teed and Samuel McConnell.  In June 1880, the Governor of Kansas proclaimed the city of Kansas City a city of the second class with Mayor McConnell present."
172,Pomona, California,"152,361","149,058",+2.22%,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2",34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W﻿ / 34.0585; -117.7611﻿ (Pomona),"https://en.wikipedia.org/wiki/Pomona,_California","The city is named for Pomona, the ancient Roman goddess of fruit.[9] For horticulturist Solomon Gates, ""Pomona"" was the winning entry in a contest to name the city in 1875, before anyone had ever planted a fruit tree there.[10] The city was first settled by Ricardo Vejar and Ygnacio Palomares in the 1830s, when California and much of the now-American Southwest were part of Mexico.  The first Anglo-Americans arrived in prior to 1848 when the signing of the Treaty of Guadalupe Hidalgo resulted in California becoming part of the United States.[2]  By the 1880s, the arrival of railroads and Coachella Valley water had made it the western anchor of the citrus-growing region. Pomona was officially incorporated on January 6, 1888.[2]"
173,Escondido, California,"152,213","143,911",+5.77%,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2",33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W﻿ / 33.1331; -117.0740﻿ (Escondido),"https://en.wikipedia.org/wiki/Escondido,_California","""Escondido"" is a Spanish word meaning ""hidden"". One source says the name originally referred to agua escondida or hidden water;[7] another says it meant ""hidden treasure"".[8]"
174,Killeen, Texas,"149,103","127,921",+16.56%,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2",31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W﻿ / 31.0777; -97.7320﻿ (Killeen),"https://en.wikipedia.org/wiki/Killeen,_Texas","In 1881, the Gulf, Colorado and Santa Fe Railway extended its tracks through central Texas, buying 360 acres (1.5 km2) a few miles southwest of a small farming community known as Palo Alto, which had existed since about 1872. The railroad platted a 70-block town on its land and named it after Frank P. Killeen, the assistant general manager of the railroad. By the next year, the town included a railroad depot, a saloon, several stores, and a school. Many of the residents of the surrounding smaller communities in the area moved to Killeen. By 1884, the town had grown to include about 350 people, served by five general stores, two gristmills, two cotton gins, two saloons, a lumberyard, a blacksmith shop, and a hotel."
175,Naperville, Illinois,"148,304","141,853",+4.55%,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2",41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W﻿ / 41.7492; -88.1620﻿ (Naperville),"https://en.wikipedia.org/wiki/Naperville,_Illinois","In a 2010 study assessing cities with populations exceeding 75,000, Naperville was ranked as the wealthiest city in the Midwest and the eleventh wealthiest in the nation.[6] It was ranked among the nation's safest cities by USA Today and Business Insider.[7][8] Naperville was voted the second-best place to live in the United States by Money magazine in 2006[9] and it was rated first on the list of best cities for early retirement in 2013 by Kiplinger.[10] In 2015, it was named as one of the most educated large cities in America with populations over 50,000.[11][12]"
176,Joliet, Illinois,"148,099","147,433",+0.45%,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W﻿ / 41.5177; -88.1488﻿ (Joliet),"https://en.wikipedia.org/wiki/Joliet,_Illinois","In 1673, Louis Jolliet, along with Father Jacques Marquette, paddled up the Des Plaines River and camped on a huge mound, a few miles south of present-day Joliet.[7] Maps from Jolliet's exploration of the area,[citation needed] placed a large hill or mound on what is now the southwest corner of the city, since there is no point that is farther southwest. That hill was named Mound Jolliet. The spot was mined by early settlers and is now a depression."
177,Bellevue, Washington,"147,599","122,363",+20.62%,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2",47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W﻿ / 47.5979; -122.1565﻿ (Bellevue),"https://en.wikipedia.org/wiki/Bellevue,_Washington","Prior to 2008, downtown Bellevue underwent rapid change, with many high-rise projects under construction, and was relatively unaffected by the economic downturn. The downtown area is currently the second largest city center in Washington state, with 1,300 businesses, 45,000 employees and 10,200 residents.[9] Based on per capita income, Bellevue is the 6th wealthiest of 522 communities in the state of Washington.[10] In 2008, Bellevue was named number 1 in CNNMoney's list of the best places to live and launch a business,[11] and in 2010 was again ranked as the 4th best place to live in America.[12] In 2014, Bellevue was ranked as the 2nd best place to live by USA Today.[13] More than 145 companies have been located in Bellevue. Current companies with headquarters in Bellevue include Expedia, T-Mobile and Valve Corporation."
178,Rockford, Illinois,"146,526","152,871",−4.15%,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W﻿ / 42.2588; -89.0646﻿ (Rockford),"https://en.wikipedia.org/wiki/Rockford,_Illinois","Settled in the mid-1830s, the position of the city on the Rock River made its location strategic for industrial development. In the second half of the 19th century, Rockford was notable for its output of heavy machinery and tools; by the twentieth century, it was the second leading center of furniture manufacturing in the nation, and 94th largest city. During the second half of the 20th century, Rockford struggled alongside many Rust Belt cities. Since the late 1990s, efforts in economic diversification have led to growth of automotive, aerospace, and healthcare industries, as well as the undertaking of various tourism and downtown revitalization efforts."
179,Savannah, Georgia,"145,862","136,286",+7.03%,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W﻿ / 32.0025; -81.1536﻿ (Savannah),"https://en.wikipedia.org/wiki/Savannah,_Georgia","Each year Savannah attracts millions of visitors to its cobblestone streets, parks, and notable historic buildings: the birthplace of Juliette Gordon Low (founder of the Girl Scouts of the USA), the Georgia Historical Society (the oldest continually operating historical society in the South), the Telfair Academy of Arts and Sciences (one of the South's first public museums), the First African Baptist Church (one of the oldest African-American Baptist congregations in the United States), Temple Mickve Israel (the third-oldest synagogue in America), and the Central of Georgia Railway roundhouse complex (the oldest standing antebellum rail facility in America).[4][7]"
180,Paterson, New Jersey,"145,627","146,199",−0.39%,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2",40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W﻿ / 40.9148; -74.1628﻿ (Paterson),"https://en.wikipedia.org/wiki/Paterson,_New_Jersey","Paterson is known as the ""Silk City"" for its dominant role in silk production during the latter half of the 19th century.[1] It has since evolved into a major destination for Hispanic immigrants as well as for immigrants from India, South Asia, and the Arab and Muslim world. Paterson has the second-largest Muslim population in the United States by percentage.[21]"
181,Torrance, California,"145,182","145,438",−0.18%,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2",33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W﻿ / 33.8350; -118.3414﻿ (Torrance),"https://en.wikipedia.org/wiki/Torrance,_California","Since its incorporation in 1921, Torrance has grown to a 2013 estimated population of 147,000.[6] This residential and light high-tech industries city has 90,000 street trees and 30 city parks.[8] Known for its low crime rates, the city consistently ranks among the safest cities in Los Angeles County.[9] Torrance is the birthplace of the American Youth Soccer Organization (AYSO). In addition,  Torrance has the second-highest percentage of residents of Japanese ancestry in California (8.9%).[10]"
182,Bridgeport, Connecticut,"144,900","144,229",+0.47%,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2",41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W﻿ / 41.1874; -73.1958﻿ (Bridgeport),"https://en.wikipedia.org/wiki/Bridgeport,_Connecticut","The showman P. T. Barnum was a resident of the city and served as the town's mayor in the late 19th century. Barnum built four houses in Bridgeport and housed his circus in town during winter. The first Subway restaurant opened in Bridgeport's North End in 1965.[4] The Frisbie Pie Company was in Bridgeport, and Bridgeport is credited as the birthplace of the Frisbee.[5]"
183,McAllen, Texas,"143,433","129,877",+10.44%,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W﻿ / 26.2322; -98.2464﻿ (McAllen),"https://en.wikipedia.org/wiki/McAllen,_Texas","In 1904, the Hidalgo and San Miguel Extension (now the Sam Fordyce Branch) of the St. Louis, Brownsville and Mexico Railway reached the Santa Anita Ranch. John McAllen and his son James donated land to the railroad to guarantee it would cross the area. On December 5, 1904, the McAllen Townsite Company was formed by Uriah Lott, Leonidas C. Hill Sr., John McAllen, James Ballí McAllen, and John J. Young. The new community, which was named for John McAllen, had the depot nearest the county seat, Hidalgo, 8 mi (13 km) to the south."
184,Mesquite, Texas,"142,816","139,824",+2.14%,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2",32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W﻿ / 32.7629; -96.5888﻿ (Mesquite),"https://en.wikipedia.org/wiki/Mesquite,_Texas","Unique to suburbs of Dallas and Fort Worth, the city of Mesquite is served by its own local airport, Mesquite Metro Airport.[9] Companies and institutions with a major presence in the city are the United Parcel Service, Sears, AT&T, Spectrum, Eastfield College, the Texas A&M University–Commerce Mesquite Metroplex Center, Ashley Furniture,[10] and FedEx.[11][10]"
185,Syracuse, New York,"142,749","145,170",−1.67%,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2",43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W﻿ / 43.0410; -76.1436﻿ (Syracuse),"https://en.wikipedia.org/wiki/Syracuse,_New_York","At the 2010 census, the city population was 145,252, and its metropolitan area had a population of 662,577. It is the economic and educational hub of Central New York, a region with over one million inhabitants. Syracuse is also well-provided with convention sites, with a downtown convention complex. Syracuse was named after the classical Greek city Syracuse (Siracusa in Italian), a city on the eastern coast of the Italian island of Sicily."
186,Midland, Texas,"142,344","111,147",+28.07%,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2,32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W﻿ / 32.0246; -102.1135﻿ (Midland),"https://en.wikipedia.org/wiki/Midland,_Texas","Midland was founded as the midway point between Fort Worth and El Paso on the Texas and Pacific Railroad in 1881. It is the hometown of former First Lady Laura Bush, and the onetime home of former Presidents George H. W. Bush and George W. Bush, and former First Lady Barbara Bush."
187,Pasadena, California,"141,371","137,122",+3.10%,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2",34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W﻿ / 34.1606; -118.1396﻿ (Pasadena),"https://en.wikipedia.org/wiki/Pasadena,_California","The estimated population of Pasadena was 142,647 in 2017, making it the 183rd-largest city in the United States.[13] Pasadena is the ninth-largest city in Los Angeles County. Pasadena was incorporated on June 19, 1886, becoming one of the first cities to be incorporated in what is now Los Angeles County, following the city of Los Angeles (April 4, 1850).[17]  It is one of the primary cultural centers of the San Gabriel Valley.[18]"
188,Murfreesboro, Tennessee,"141,344","108,755",+29.97%,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2,35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W﻿ / 35.8522; -86.4160﻿ (Murfreesboro),"https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee","In 2006, Murfreesboro was ranked by Money as the 84th best place to live in the United States, out of 745 cities with a population over 50,000.[12][13] In 2018, Murfreesboro was ranked by Money as the 19th best place to live in the United States.[14]"
189,Miramar, Florida,"140,823","122,041",+15.39%,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2",25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W﻿ / 25.9770; -80.3358﻿ (Miramar),"https://en.wikipedia.org/wiki/Miramar,_Florida","The city was incorporated on May 26, 1955 and was named for the Miramar area of Havana, Cuba where Mailman had a summer home (Miramar translates to ""look at the sea"" in Spanish).[6] At the time of incorporation, the city had a population of less than two hundred people. With approximately 2.9 square miles land area, Miramar's original city boundaries were Southwest 64 Avenue on the east, University Drive on the west, the Dade County line on the south, and Pembroke Road on the north.  On June 20, 1955, the city's first mayor (Robert Gordon) and city council were sworn in, all of whom were appointed by the governor and served until January 1959, at which time the first municipal election was held. The city seal is inscribed with the motto ""Beauty and Progress""."
190,Dayton, Ohio,"140,640","141,527",−0.63%,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2,39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W﻿ / 39.7774; -84.1996﻿ (Dayton),"https://en.wikipedia.org/wiki/Dayton,_Ohio","Ohio's borders are within 500 miles (800 km) of roughly 60 percent of the country's population and manufacturing infrastructure, making the Dayton area a logistical centroid for manufacturers, suppliers, and shippers.[8][9] Dayton also hosts significant research and development in fields like industrial, aeronautical, and astronautical engineering that have led to many technological innovations. Much of this innovation is due in part to Wright-Patterson Air Force Base and its place in the community. With the decline of heavy manufacturing, Dayton's businesses have diversified into a service economy that includes insurance and legal sectors as well as healthcare and government sectors."
191,Fullerton, California,"139,640","135,161",+3.31%,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2",33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W﻿ / 33.8857; -117.9280﻿ (Fullerton),"https://en.wikipedia.org/wiki/Fullerton,_California","Fullerton was founded in 1887. It secured the land on behalf of the Atchison, Topeka and Santa Fe Railway. Historically it was a center of agriculture, notably groves of Valencia oranges and other citrus crops; petroleum extraction; transportation; and manufacturing. It is home to numerous higher educational institutions, particularly California State University, Fullerton and Fullerton College. From the mid-1940s through the late 1990s, Fullerton was home to a large industrial base made up of aerospace contractors, canneries, paper products manufacturers, and is considered to be the birthplace of the electric guitar, due in a large part to Leo Fender. The headquarters of Vons, which is owned by Albertsons, is located in Fullerton near the Fullerton-Anaheim line."
192,Olathe, Kansas,"139,605","125,872",+10.91%,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2,38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W﻿ / 38.8843; -94.8195﻿ (Olathe),"https://en.wikipedia.org/wiki/Olathe,_Kansas","Olathe was incorporated in 1857,[10] and while not the first city in Johnson County, its rapid growth lead to it being named the county seat in October 1859.[9] Rising tensions across the nation over the issue of slavery lead to numerous clashes between abolitionists settlers and neighboring slave state Missouri. These clashes would further escalate and become a part of the greater conflict known as Bleeding Kansas. With the admission of Kansas into the Union as a free state in 1861, violence began to dissipate. Peace, however, would continue to elude Olathe for many years to come. In 1861 Union officials and local military forces created a military post in the city. It housed one company of troops along with the local militia."
193,Orange, California,"139,484","136,416",+2.25%,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2",33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W﻿ / 33.7870; -117.8613﻿ (Orange),"https://en.wikipedia.org/wiki/Orange,_California","Members of the Tongva and Juaneño/Luiseño ethnic group long inhabited this area. After the 1769 expedition of Gaspar de Portolá, an expedition out of San Blas, Nayarit, Mexico, led by Father Junípero Serra, named the area Vallejo de Santa Ana (Valley of Saint Anne). On November 1, 1776, Mission San Juan Capistrano became the area's first permanent European settlement in Alta California, New Spain.[citation needed]"
194,Thornton, Colorado,"139,436","118,772",+17.40%,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2",39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W﻿ / 39.9194; -104.9428﻿ (Thornton),"https://en.wikipedia.org/wiki/Thornton,_Colorado","The Thornton Community Association (TCA) was formed in 1954 to help guide the new community's development. By the end of 1955, Thornton had 5,500 residents in over 1,200 homes. The TCA was instrumental in Thornton's 1956 incorporation as a city. Oyer G. Leary was elected the first mayor.[8]"
